id_worker,assigned_tasks,completed_tasks,absences,employee_calls,work_mode,location,start_date
7f0e6c5e-460f-45e8-91a1-6b41ab0888b1,18,15,4,3,Remota,Bogotá,2022-01-06
0d2db1b6-bd7c-4fd9-9fb7-5defbae64d03,23,13,10,6,Híbrida,Cartagena,2017-06-18
a8d89584-eb8a-4da1-a7cf-969a2d137d11,9,9,1,0,Remota,Bogotá,2014-07-12
6922456a-7f3b-468e-976b-67c9fbfa525d,26,15,10,6,Remota,Medellín,2018-01-07
82a2d585-7a8b-4075-b97e-c7517afce955,24,12,12,8,Remota,Cali,2015-04-30
ffe47ede-bf85-4289-a860-66c70e2a7fbe,19,12,8,4,Híbrida,Bogotá,2021-12-13
e128d640-0527-40b9-beee-8daf091b5587,16,12,4,2,Híbrida,Medellín,2014-09-21
41abd306-acc8-4f7e-87ea-33baaad587eb,23,14,5,5,Híbrida,Cartagena,2013-10-04
7d92b81f-00b4-4861-a9a3-973aa47e3d0f,27,9,13,10,Remota,Pereira,2013-09-06
3e2a3cb2-5061-4f1b-827d-abcc32c3d86d,18,15,3,4,Remota,Bogotá,2019-04-15
6a30680c-ce9f-45cf-b5aa-7e5de7892135,20,14,6,5,Híbrida,Bogotá,2016-02-08
4f1ffd3b-a2e7-4945-8786-26d01621236a,20,12,9,5,Remota,Medellín,2013-12-17
086b8e09-3ca2-465c-9548-bc8c5a588dee,10,9,0,0,Remota,Medellín,2020-10-20
31838f6f-0274-4a7f-8df1-e5109a60533d,25,13,12,8,Híbrida,Bogotá,2023-02-10
31e96e1f-cca0-4a99-8083-a0956fadf712,18,13,6,3,Híbrida,Medellín,2016-12-06
607c7540-8526-411d-9767-3176214d35f9,23,13,10,4,Remota,Cali,2021-01-22
8a23e8b1-b3ef-4d6f-8484-1a470a0d3dbc,25,12,10,6,Híbrida,Bogotá,2022-09-07
b3170735-7c2f-4f84-9aee-f9a5a2156c3a,11,10,3,0,Remota,Cartagena,2019-10-22
fc03c315-292f-44bb-8c09-d7516a62e7bb,26,10,11,10,Híbrida,Bogotá,2016-02-16
102afc33-1c08-43fa-a027-b7cb4b90fb7c,16,14,2,3,Remota,Medellín,2016-03-03
67672568-09ca-4ff4-8cca-b7260402ac40,22,15,7,7,Remota,Medellín,2022-10-17
ec1943ad-cd45-4cc6-aab5-6a7c169e0ed1,17,14,4,2,Híbrida,Medellín,2021-06-29
af97113a-aacd-4cff-b007-b6938a5ed339,11,9,4,2,Remota,Bogotá,2019-09-08
05ba0a54-70f0-4dd4-a438-3bf51cab9667,14,11,7,3,Remota,Medellín,2020-03-15
2ed35eb4-efd4-451f-a358-b2c97812b167,12,10,3,0,Remota,Cali,2017-11-26
37cf37de-c1ca-4207-9473-264105ada8bc,15,11,4,2,Remota,Bogotá,2022-01-18
7f7040ca-cb4d-4783-ba45-c24c4af4a02f,13,13,1,0,Remota,Bogotá,2020-08-12
dae6453a-73cf-4462-bafc-84d115e6f412,23,11,12,6,Híbrida,Cartagena,2020-09-18
5383c1b1-4b3a-403e-803a-2c28f4b915b2,11,9,2,2,Remota,Bogotá,2015-04-18
3a859d8f-6669-4cf9-8115-5aec99770089,18,11,10,6,Remota,Medellín,2019-09-22
201de391-1a44-4e78-b2a5-f5e53a6d2c9e,17,14,4,2,Remota,Bogotá,2014-12-14
959f4299-7af9-4a90-90f4-1931a898eb32,25,12,13,9,Híbrida,Pereira,2013-02-19
ca347ae1-a1fa-4fee-b608-9ebc05b9c133,17,13,4,4,Remota,Pereira,2020-02-29
62a3d505-ecf4-4639-8c00-d38229d0f5c9,23,15,7,7,Remota,Medellín,2021-07-12
e816b594-88fe-4a5b-8499-04b94ac42d82,22,13,10,6,Remota,Bogotá,2015-06-19
057a62eb-5fbe-4ab6-8504-f266778f7cc8,16,13,3,2,Remota,Medellín,2022-10-09
e28230df-0658-434e-9dae-00368a934646,30,13,14,7,Híbrida,Cali,2014-11-01
40b8135d-688d-471a-89bd-37f09a9cbb9e,14,11,8,5,Remota,Bogotá,2018-11-11
b2b86141-1cc2-4eec-8fbf-c828b977b142,28,11,16,9,Remota,Bogotá,2013-03-07
44a1882a-abc9-4428-83d1-c0e21bb73b4e,14,12,1,2,Híbrida,Cali,2017-01-22
7721bfa9-0f8d-4e52-ac70-425412a72ede,21,13,7,4,Híbrida,Cartagena,2018-09-05
f2c3953c-3512-4990-af7c-00ef1d617e6e,27,14,12,7,Híbrida,Bogotá,2021-05-30
d91a87e0-0039-4866-ad89-b67490d756f6,12,11,1,2,Remota,Medellín,2016-08-09
04102270-cd25-4214-95bf-ea46fe4e7aef,26,9,13,10,Remota,Pereira,2022-01-03
fd9b1554-d6ee-4f6a-9e42-af3772a1b319,24,12,11,7,Remota,Medellín,2018-03-13
4d0a9835-26b2-44a0-939a-db26c64ce770,9,9,0,0,Remota,Cali,2015-05-04
fab6126e-764e-41d3-a32e-f26bf4b6be4e,24,13,11,7,Remota,Pereira,2016-05-01
714951ae-530f-4b0c-b78d-4bb979eaf1a4,26,10,14,9,Remota,Bogotá,2014-10-03
cacd8c90-8dd4-42ab-9e8b-50c1fce3378b,15,12,3,2,Híbrida,Bogotá,2022-03-31
f6e54577-945e-4d7f-9ce7-7482128eb5d7,28,12,15,12,Híbrida,Bogotá,2014-02-14
3de5966c-b1eb-45be-a8e5-3e1f3268f58a,11,9,0,0,Híbrida,Cali,2019-01-30
831c0786-ad28-431b-843f-7f6fb599e9ad,9,9,0,0,Híbrida,Pereira,2014-01-16
4aee06bc-8f03-4e89-b193-2bb7f2a60535,11,10,0,0,Híbrida,Cali,2017-03-14
4854651f-7526-4dd7-85ea-91fee4691aab,30,13,14,9,Remota,Medellín,2019-03-21
3303a7ad-a748-4e31-9223-359422e5944b,27,12,12,7,Remota,Medellín,2015-04-18
2db656ec-e176-435c-b93c-128c254228c5,16,12,4,4,Remota,Medellín,2020-06-20
713378e4-ded0-4629-afb8-32f28b1ce1b9,24,12,12,8,Híbrida,Medellín,2023-10-20
e59446fb-1d70-4ced-ba85-3fd9b15e8ec1,30,12,12,9,Remota,Medellín,2018-06-02
99a700a6-a901-4e95-b685-d83028506a93,21,15,10,5,Híbrida,Medellín,2016-01-24
477f4a3c-eee9-48a0-95c0-05d816639432,16,12,5,3,Remota,Bogotá,2014-07-03
baa878e1-382b-4816-82c3-9586a16867d2,14,12,3,2,Remota,Bogotá,2020-05-29
b753cea0-b89f-4b38-ac99-388b0589a4db,17,15,2,3,Remota,Medellín,2015-06-29
cbab1612-2b4a-4fbf-8a12-9389d060b308,21,12,10,7,Híbrida,Bogotá,2016-06-02
56a40cb1-7884-484d-8407-f56e0ee0a3f5,29,12,11,7,Híbrida,Cartagena,2014-01-31
295b1152-c074-4bcb-af6a-817cd9743221,28,10,14,10,Remota,Bogotá,2017-07-20
b22a39df-8d83-4c9c-83a9-b02bda56726b,26,10,10,9,Híbrida,Cali,2015-02-28
1b12347f-da91-4424-b1e1-314a6eccfd20,10,9,0,0,Híbrida,Medellín,2018-03-21
7a7decee-1e67-4c34-8d74-08fd69720c59,22,14,10,7,Remota,Cartagena,2022-10-30
e7c407dd-99ea-4f86-bc1c-f9a9ae8e2dc9,9,8,3,1,Remota,Cartagena,2020-08-06
c9ba5905-e339-44fd-adfc-0b4902465062,24,11,11,7,Remota,Bogotá,2021-12-08
fa1e87c4-12a3-4c4d-ac15-c74cc1c20c5f,27,12,10,7,Híbrida,Bogotá,2019-10-26
b3824102-6898-4d5d-8d2f-8e2d6bd6ff75,17,12,4,4,Remota,Cartagena,2014-11-26
8e7c7875-f1ce-4488-a8c4-29ca0b94c7d0,23,13,10,7,Híbrida,Cali,2022-03-31
5a224da9-2c28-48fc-9837-0d6b96aee8da,22,10,10,7,Híbrida,Medellín,2016-09-22
772f465d-e4ab-4afc-a99c-d4b64152a280,30,12,15,9,Remota,Medellín,2013-01-12
695227c2-2548-465c-8206-3a57759257fe,21,16,5,4,Remota,Cali,2013-09-04
22c74d72-0116-4dc5-8ff7-f2621232e1c6,14,11,3,4,Híbrida,Cartagena,2015-01-03
8c68394e-6ca0-4a8d-96e8-389f7ee713f3,25,13,12,8,Híbrida,Medellín,2013-10-01
e00db1ce-087e-42d4-8472-e4c02f40e383,19,14,6,4,Remota,Bogotá,2017-05-15
546674a8-1dc5-42f3-b96c-da171b0b22b9,25,13,11,7,Remota,Medellín,2019-09-23
b94916ec-2139-4054-95b4-3a87bb55a89c,16,12,6,3,Remota,Medellín,2020-05-27
24a6898f-06d2-4046-8e74-94fc7ae5dbe2,23,13,9,8,Híbrida,Bogotá,2021-01-10
45b01f69-2b47-4644-9182-b0a485056ac9,20,13,7,5,Remota,Pereira,2014-05-13
96b6f52f-70fe-4b76-bda9-8409ed68da30,27,15,10,7,Remota,Medellín,2017-04-27
a7f2fc7b-c615-41b4-9016-c44bd211f69e,11,10,1,1,Híbrida,Medellín,2018-11-27
633fbb89-9640-45f2-96e6-8c3d2b0ddf20,18,15,5,4,Remota,Bogotá,2021-03-21
206727d4-1201-4c20-b17d-e54a3136b741,17,15,2,3,Remota,Medellín,2013-08-06
e43b7359-66ac-4c63-bde2-4a9d0475803b,18,13,1,1,Híbrida,Medellín,2015-07-29
708eb706-6003-4434-83b3-a33a0baa9fa3,18,14,7,1,Híbrida,Bogotá,2023-03-22
3ca5d2aa-05db-4df0-bc55-5e2c70aeff52,13,11,2,1,Remota,Pereira,2020-07-15
fec935dc-1324-4c63-b9d5-6bbfac4fd961,13,11,2,0,Híbrida,Bogotá,2023-01-26
64626f5a-403c-4083-822d-cd98036f076a,30,12,14,11,Remota,Cali,2019-09-04
facfccbe-c2df-42af-aabf-461a5cdd8308,18,13,6,4,Remota,Bogotá,2017-06-21
34376ec6-d7ed-47e3-92f2-d683ccbe230e,15,12,5,3,Híbrida,Bogotá,2018-03-01
4583f4e1-98ac-40f2-a0cf-774ca0c4ee78,28,12,10,8,Remota,Pereira,2013-08-20
69a077d3-02c6-4a5c-9131-ec54eaa5ff48,19,11,10,6,Híbrida,Medellín,2017-06-10
1c776cc4-aa8f-4c33-8c05-ec28d434eb88,22,14,6,5,Híbrida,Bogotá,2018-12-25
6a0d8904-01f3-4c54-9a67-5eabc50d9877,16,12,6,2,Remota,Cali,2016-09-13
1f9a6e11-4fea-4703-bc2c-a1104c5a258a,20,16,8,4,Híbrida,Bogotá,2023-11-26
a12896cd-7d49-4624-a68e-fa6994ccf742,22,14,10,6,Remota,Cali,2020-11-25
d234de72-7dae-4b11-b565-7926b7f81e90,16,12,5,2,Híbrida,Bogotá,2019-05-14
b90e02c6-52ae-4d4b-a6e6-7d065b151e57,19,13,8,4,Híbrida,Cartagena,2023-08-24
c97dad0a-a469-45e4-8893-19e47dfc0866,17,13,3,0,Híbrida,Bogotá,2021-10-06
df5739c2-c7da-44f1-80e9-0ce34dcd8b1f,11,10,3,0,Remota,Medellín,2020-06-14
ce6dd134-794e-49d3-9bf8-f96065d30c28,16,12,4,6,Remota,Cali,2015-07-26
0d183b93-2687-4866-94db-b1da77d354de,22,15,8,7,Remota,Medellín,2023-12-04
78bc67c9-e2af-476d-8157-ee3a117e902e,30,9,15,9,Remota,Cartagena,2016-12-06
ba2056ee-d57d-426c-ab66-5d2050d325a5,12,12,3,2,Remota,Cartagena,2019-09-27
4b79c39b-1820-44a2-8441-a3ea41087323,13,11,3,4,Híbrida,Bogotá,2022-09-22
1695c1b6-9f57-4637-af87-c35dec027b4c,30,10,16,10,Híbrida,Cali,2019-07-29
b33d317f-882d-4deb-ab3e-bb41ec67eafd,15,9,6,5,Híbrida,Bogotá,2022-08-28
baf5270f-d035-423b-b321-8ab87960dee0,24,12,14,8,Híbrida,Cartagena,2015-04-19
8a41824f-458a-47e9-80b5-33da97229eb7,18,11,8,5,Híbrida,Bogotá,2016-12-27
b7179e1b-72c7-4c2b-a3b9-89c8c70ae8c3,28,14,12,8,Híbrida,Bogotá,2019-09-25
2fd648fc-a69e-4467-9ddf-d54e378d418a,15,10,3,3,Remota,Bogotá,2018-05-06
c5cdae3a-e043-43e1-aed3-d76f5a5753ff,26,11,12,9,Híbrida,Bogotá,2021-10-15
89a76676-226a-47c6-98a9-f502da0cce4f,21,13,8,6,Híbrida,Bogotá,2019-05-18
4fd490ae-4d78-4e53-a5a9-987aa5eafe99,23,13,10,7,Remota,Bogotá,2016-03-22
9864d5d5-754e-4031-8034-6eac3437fad1,20,14,6,4,Híbrida,Bogotá,2023-04-28
668ce8d9-3597-4559-9310-743cab62c138,24,13,9,7,Remota,Bogotá,2013-01-15
65c02ed9-7323-4a1c-9f24-56f2aadc58fb,27,12,13,6,Híbrida,Bogotá,2014-03-12
f9f451d5-8e40-4013-bd68-4ae82b4b86eb,25,12,14,9,Remota,Medellín,2017-05-23
fba98d5b-aa34-49e3-9c80-b77fb0c97230,27,10,12,8,Híbrida,Pereira,2020-07-25
dd3ba1ef-5ebb-4a5a-8ccc-cd73770574bf,12,11,2,2,Híbrida,Medellín,2017-09-16
d08cf5f3-7339-49f6-b028-7626b408c512,16,12,5,6,Remota,Bogotá,2016-08-30
6eb90390-556a-4632-b768-259e78de4433,21,12,10,7,Remota,Bogotá,2016-03-22
db4109d3-e1ae-43ae-85fe-d35864053486,12,10,1,0,Remota,Bogotá,2017-06-03
1a08e3fe-a9b9-46a0-8e95-29074ac641b4,16,12,5,3,Híbrida,Bogotá,2014-03-18
4778fa5d-3b6c-4e62-acff-08a6b554c5dd,28,13,12,9,Híbrida,Bogotá,2020-06-09
5217cdff-d7e2-4a88-abf3-4f12206c518d,11,10,3,0,Remota,Bogotá,2016-08-07
c728a0d9-8b3c-45e6-a462-6e7258e15af3,24,11,10,8,Híbrida,Bogotá,2020-10-24
8de3f2e0-f0d5-4c54-9f64-5c8a8158b621,26,12,13,8,Remota,Cali,2018-07-12
80ff90e5-d63a-4f7c-81e4-bd98360cf458,28,12,11,8,Remota,Medellín,2017-06-18
74974509-f32d-4150-8a4d-1142b071650e,24,13,12,7,Híbrida,Cali,2016-09-16
6658d7db-66b8-4007-bedf-b8baf22947d0,22,10,13,10,Híbrida,Bogotá,2017-05-11
dedbbc9d-96f9-4ea5-b8cb-5cc965328321,30,14,10,8,Remota,Bogotá,2015-03-10
eabe934e-276e-4eb3-83a4-ec4b7a1e4530,27,11,12,8,Híbrida,Medellín,2019-07-18
e3c3884e-37e0-45cf-aad0-6a2ef6b42661,12,10,1,2,Híbrida,Medellín,2022-06-14
22057efc-5af6-4c63-be2b-5463d91cee8c,17,13,7,3,Remota,Medellín,2017-09-11
8fdec22b-e3e0-41c8-8d38-fc2931e37c3a,18,13,6,4,Híbrida,Medellín,2015-01-20
a3d8371f-8a88-4ecd-be24-52ae1345d9de,8,7,2,2,Híbrida,Medellín,2019-10-20
d9d4fba5-cf7f-47fb-8525-15b2e48ee646,23,11,10,8,Híbrida,Pereira,2014-01-16
ecca0cfb-db5d-4979-a5a0-3a2d4b201936,10,8,4,2,Remota,Pereira,2019-05-28
5815e019-55fa-4b48-8396-4b23a10909fa,29,9,13,9,Remota,Pereira,2017-04-09
c6960338-303c-40bc-a520-569da3eead4b,24,13,12,9,Híbrida,Bogotá,2014-09-11
4b7197fa-3f5b-4bfd-aa24-b2e1649f4a56,19,12,8,6,Híbrida,Bogotá,2021-04-04
9d229ca0-4cdb-424f-a9ed-b96917d9c37a,12,10,0,2,Remota,Cali,2019-02-16
4a04be19-d182-4764-b19f-9341cc5d1981,18,12,6,5,Híbrida,Bogotá,2022-10-25
aa3ff4e5-0825-4c13-8320-39d7250c3789,23,13,10,6,Remota,Pereira,2018-08-16
61bc98a8-dbd3-4de4-883e-b461c3bd433b,21,13,9,9,Remota,Cali,2018-11-18
99e79b42-0a8c-436d-a4f4-b1fd0afb28b4,14,12,3,1,Híbrida,Cali,2021-05-26
23f08f4b-86da-42bb-83e3-17736c8379e2,30,11,14,10,Remota,Medellín,2019-01-14
93d2b3f4-9b71-4b36-a9a7-288a17446c3b,24,12,12,8,Híbrida,Bogotá,2016-03-28
2252a9d0-faeb-429b-9fd1-5b73329a946c,27,14,11,6,Híbrida,Pereira,2014-01-29
0effd7d3-db64-49b5-af32-13dc14adaec7,28,13,16,9,Híbrida,Bogotá,2018-01-22
e0b5cf56-63ff-445a-9a55-d3b4133a1bc4,14,11,5,2,Híbrida,Bogotá,2021-04-18
f32c36de-5ff3-4a4e-ab13-62cdb77d4b8b,16,11,7,2,Remota,Bogotá,2022-05-25
cabf86b6-7bcc-49b3-afa7-0e062a5ce17f,27,11,11,8,Híbrida,Bogotá,2017-01-26
bc168f9e-4b09-45dd-9693-22007bd65a2e,22,18,6,4,Remota,Medellín,2021-05-11
fbf46aa8-1f2e-49e5-99cf-8c3f83f2d978,30,14,14,10,Híbrida,Bogotá,2015-07-08
e13d4616-5006-4b8f-a6ad-8ea34299daba,26,10,15,10,Remota,Cali,2014-12-29
8584d0b4-351d-4e7a-9d99-00ad030280f3,16,12,4,2,Remota,Bogotá,2022-04-12
0d8f7a0e-8bfe-4730-8931-727ed175a8d4,21,13,10,6,Remota,Pereira,2013-07-29
8dde6f47-61a9-4a5b-aeb7-db204ab3fad5,29,12,14,9,Remota,Bogotá,2019-03-09
8ef5c1ea-07d2-4510-b1d5-5ac5c7dc4c81,27,11,12,9,Remota,Cali,2020-05-06
679ce8a0-ec0b-46c6-a00d-fa24a36209b3,14,11,3,4,Híbrida,Bogotá,2020-12-19
11c94c30-9f79-4372-a9e7-0817cb711d28,25,15,10,8,Híbrida,Bogotá,2023-02-01
169db315-2437-4097-b1ea-6c82c75df51e,24,14,9,6,Híbrida,Medellín,2023-11-22
af015459-28e3-4d7a-a5f0-400442861491,11,9,0,1,Remota,Cali,2015-12-17
12051fb0-bb87-4898-b298-bd98af19e5e1,14,12,3,1,Remota,Pereira,2014-03-23
bb5f6b71-272d-49cd-a7f2-a3fd69a2d460,18,14,4,3,Híbrida,Cartagena,2015-10-10
98fee67c-8528-4c06-889a-bd6795d30229,17,14,5,4,Remota,Cali,2023-12-05
2fb0b12f-bd80-4a78-8d3c-e8ec80817b1a,28,9,15,11,Híbrida,Medellín,2016-12-05
15eea2da-ef98-43d2-806b-1b91618e43ba,20,15,8,3,Remota,Medellín,2013-01-14
9b16e06f-a9e8-4115-b8a0-79736d353ff4,18,10,5,3,Híbrida,Cali,2020-03-05
0fc91687-79ec-407f-8113-588f20f92068,25,12,11,7,Remota,Cali,2020-04-24
7e4beced-00de-4b3e-97c6-43360bca8c5d,15,14,1,1,Híbrida,Bogotá,2022-09-09
33ffd09f-5191-4e4c-9687-374cc9888a54,26,15,10,7,Híbrida,Cartagena,2014-04-04
9cb883f6-2e6d-4702-a701-d61ebee75fc1,25,10,13,8,Híbrida,Bogotá,2014-12-24
27be420c-a818-4e49-87e3-9e305dc22afe,30,12,13,10,Remota,Cali,2013-12-28
7d90106a-781f-4d3d-8e0d-8764a17b538a,22,15,7,6,Híbrida,Bogotá,2023-05-09
0ef6e9d3-c8fb-483d-bb5a-cac0c179b7be,25,11,9,6,Remota,Bogotá,2020-02-13
b38646ab-a9e8-492d-bcb8-140206873684,13,11,2,0,Remota,Bogotá,2017-12-16
722dc463-eb37-4b37-bb1b-f0bcee288f7e,19,12,5,4,Remota,Cali,2013-11-16
dcf25541-cc03-4a05-bb78-87edd9dd36a2,20,13,6,3,Híbrida,Medellín,2021-09-07
834a259f-428f-4a50-8b71-7abeaa15c8f9,13,11,2,1,Remota,Bogotá,2018-11-15
8656c08d-6227-49ef-8686-0cb25d533043,13,11,4,3,Remota,Bogotá,2017-05-10
aa297a1f-5008-46e6-9c0b-34528ff30c44,26,9,12,9,Remota,Cali,2017-11-21
722d9908-2b1a-453f-add6-d8ca375feaaa,28,10,13,9,Remota,Bogotá,2023-05-01
fba42e08-d572-4d5b-a091-20b6c3a58950,16,14,4,3,Híbrida,Medellín,2018-09-30
ae2c71ae-6b1f-4faf-99c8-086e2b6fcfcb,27,13,13,7,Remota,Bogotá,2015-04-17
b2e1a694-6e8d-4530-8c01-52ed57efa2aa,18,12,9,6,Remota,Cartagena,2013-03-02
199fe105-3739-4640-9559-9680f54a4156,13,12,1,2,Remota,Cali,2017-04-21
f6b3ce4a-46e7-4224-9af3-0748fc1324f0,28,11,12,8,Remota,Cartagena,2016-06-12
32a52003-19d7-4ba3-9b6a-d6c9c7c53b65,15,13,1,1,Remota,Bogotá,2016-03-19
1df54704-f413-45a6-a720-90009510a9ec,22,14,7,5,Remota,Bogotá,2018-10-05
bdc26850-9ca9-413f-9b74-a33d04b12834,23,11,10,5,Remota,Medellín,2022-03-22
34481826-c109-4764-bed7-91f898c82435,11,9,0,0,Remota,Bogotá,2022-05-08
532ae61b-8b81-4739-9f7e-49f0be5b12a0,28,10,13,7,Remota,Cartagena,2017-05-10
fde362de-2ab4-41db-b504-3c8eb4716789,19,10,10,6,Híbrida,Bogotá,2016-12-20
48e7e35f-ce2e-4d7a-a4b4-d6bfbad396bf,24,10,14,7,Híbrida,Cali,2015-10-14
